index	block_type	html_class	norm_anchor	norm_anchor_type	editorial_category	text	links_count	first_link	bracket_meta
1	A_normativo	suTIT			CONSTITUIÇÃO DA REPÚBLICA FEDERATIVA DO BRASIL	#titulo2 ">Preâmbulo	0		
2	A_normativo	suTIT	#titulo2 ">Preâmbulo	suTIT		#titulo3 ">Título I &ndash; Dos Princípios Fundamentais (arts. 1º a 4º)	0		
3	A_normativo	suTIT	#titulo3 ">Título I &ndash; Dos Princípios Fundamentais (arts. 1º a 4º)	suTIT		#titulo29 ">Título II &ndash; Dos Direitos e Garantias Fundamentais (arts. 5º a 17)	0		
4	A_normativo	suCAP	#titulo29 ">Título II &ndash; Dos Direitos e Garantias Fundamentais (arts. 5º a 17)	suTIT		#titulo30 ">Capítulo I &ndash; Dos Direitos e Deveres Individuais e Coletivos (art. 5º)	0		
5	A_normativo	suCAP	#titulo30 ">Capítulo I &ndash; Dos Direitos e Deveres Individuais e Coletivos (art. 5º)	suCAP		#titulo135 ">Capítulo II &ndash; Dos Direitos Sociais (arts. 6º a 11)	0		
6	A_normativo	suCAP	#titulo135 ">Capítulo II &ndash; Dos Direitos Sociais (arts. 6º a 11)	suCAP		#titulo188 ">Capítulo III &ndash; Da Nacionalidade (arts. 12 e 13)	0		
7	A_normativo	suCAP	#titulo188 ">Capítulo III &ndash; Da Nacionalidade (arts. 12 e 13)	suCAP		#titulo215 ">Capítulo IV &ndash; Dos Direitos Políticos (arts. 14 a 16)	0		
8	A_normativo	suCAP	#titulo215 ">Capítulo IV &ndash; Dos Direitos Políticos (arts. 14 a 16)	suCAP		#titulo255 ">Capítulo V &ndash; Dos Partidos Políticos (art. 17)	0		
9	A_normativo	suTIT	#titulo255 ">Capítulo V &ndash; Dos Partidos Políticos (art. 17)	suCAP		#titulo265 ">Título III &ndash; Da Organização do Estado	0		
10	A_normativo	suCAP	#titulo265 ">Título III &ndash; Da Organização do Estado	suTIT		#titulo266 ">Capítulo I &ndash; Da Organização Político-Administrativa (arts. 18 e 19)	0		
11	A_normativo	suCAP	#titulo266 ">Capítulo I &ndash; Da Organização Político-Administrativa (arts. 18 e 19)	suCAP		#titulo276 ">Capítulo II &ndash; Da União (arts. 20 a 24)	0		
12	A_normativo	suCAP	#titulo276 ">Capítulo II &ndash; Da União (arts. 20 a 24)	suCAP		#titulo392 ">Capítulo III &ndash; Dos Estados Federados (arts. 25 a 28)	0		
13	A_normativo	suCAP	#titulo392 ">Capítulo III &ndash; Dos Estados Federados (arts. 25 a 28)	suCAP		#titulo410 ">Capítulo IV &ndash; Dos Municípios (arts. 29 a 31)	0		
14	A_normativo	suCAP	#titulo410 ">Capítulo IV &ndash; Dos Municípios (arts. 29 a 31)	suCAP		#titulo461 ">Capítulo V &ndash; Do Distrito Federal e dos Territórios	0		
15	A_normativo	suSEC	#titulo461 ">Capítulo V &ndash; Do Distrito Federal e dos Territórios	suCAP		#titulo462 ">Seção I &ndash; Do Distrito Federal (art. 32)	0		
