index	block_type	html_class	norm_anchor	norm_anchor_type	editorial_category	text	links_count	first_link	bracket_meta
0	B_editorial	com-titulo			CONSTITUIÇÃO DA REPÚBLICA FEDERATIVA DO BRASIL	CONSTITUIÇÃO DA REPÚBLICA FEDERATIVA DO BRASIL	0		
200	B_editorial	com-titulo	Parágrafo único. Todo o poder emana do povo, que o exerce por meio de representantes eleitos ou dire	par	controle_concentrado	Controle concentrado de constitucionalidade A aplicação retroativa das novas regras que ampliaram o número de vereadores nos Municípios brasileiros para alcançar o processo eleitoral concluído em 2008, tal como prevista no inciso I do art. 3º da EC 58/2009, contraria inarredavelmente os princípios c	0		
439	B_editorial	com-titulo	Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasil	art	sumula_vinculante	Súmulas Vinculantes Não cabe ao Poder Judiciário, que não tem função legislativa, aumentar vencimentos de servidores públicos sob o fundamento de isonomia. [ http://www.stf.jus.br/portal/jurisprudencia/listarJurisprudencia.asp?s1=%28%2837%2ENUME%2E%29%29+E+S%2EFLSV%2E&amp;base=baseSumulasVinculantes	0		
440	B_editorial	com-titulo	Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasil	art	controle_concentrado	Controle concentrado de constitucionalidade A necessidade de formação e o aprimoramento profissional no âmbito da Administração Pública (art. 39, § 2º, da CF) permite o exercício de atividades de docência por parte dos próprios agentes públicos, os quais passam a desempenhar funções diversas para as	0		
460	B_editorial	com-titulo	Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasil	art	repercussao_geral	Repercussão geral É compatível com a Constituição da República de 1988 a ampliação para 30 (trinta) dias do prazo de oposição de embargos à execução pela Fazenda Pública. [ http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=751490852 ">RE 590.871 , rel. min. Edson Fachin, j. 11-11	0		
470	B_editorial	com-titulo	Art. 5º Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasil	art	julgados_correlatos	Julgados correlatos Inconstitucionalidade da incidência do tipo penal do aborto no caso de interrupção voluntária da gestação no primeiro trimestre. (...) é preciso conferir interpretação conforme à Constituição aos próprios arts. 124 a 126 do CP &ndash; que tipificam o crime de aborto &ndash; para 	0		
1524	B_editorial	com-titulo	LV - aos litigantes, em processo judicial ou administrativo, e aos acusados em geral são assegurados	inc	sumula_vinculante	Súmulas Vinculantes É inconstitucional a exigência de depósito prévio como requisito de admissibilidade de ação judicial na qual se pretenda discutir a exigibilidade de crédito tributário. [ http://jurisprudencia.stf.jus.br/pages/search/seq-sumula777/false " target="_blank"> Súmula Vinculante 28 .] 	0		
1528	B_editorial	com-titulo	LV - aos litigantes, em processo judicial ou administrativo, e aos acusados em geral são assegurados	inc	controle_concentrado	Controle concentrado de constitucionalidade Nas hipóteses previstas nos arts. 9º, parágrafo único, inciso II, e 311, parágrafo único, do CPC/2015, o contraditório não foi suprimido, e sim diferido, como ocorre em qualquer provimento liminar. O legislador realizou uma ponderação entre a garantia do c	1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15359209063&ext=.pdf	
1533	B_editorial	com-titulo	LV - aos litigantes, em processo judicial ou administrativo, e aos acusados em geral são assegurados	inc	Não ofende os princípios da isonomia, da ampla defesa e do contraditório a ausên	Não ofende os princípios da isonomia, da ampla defesa e do contraditório a ausência de previsão, nas normas regimentais, de limitação de tempo para o Ministério Público realizar sustentação oral quando atuar na qualidade de custos legis, pois, nessa condição, não se equipara às partes e persegue o i	0		
1899	B_editorial	com-titulo	LXV - a prisão ilegal será imediatamente relaxada pela autoridade judiciária;	inc	controle_concentrado	Controle concentrado de constitucionalidade O juízo incompetente pode, salvante os casos de erro grosseiro e manifesta má-fé, em hipóteses de urgência e desde que haja dúvida razoável a respeito do órgão que deve processar a causa, determinar o relaxamento de prisão ilegal, remetendo o caso, em segu	0		
1900	B_editorial	com-titulo	LXV - a prisão ilegal será imediatamente relaxada pela autoridade judiciária;	inc	julgados_correlatos	Julgados correlatos Uma vez configurada a inércia do Governo requerente no cumprimento de diligência visando a instruir o pedido de extradição e projetada a prisão do extraditando no tempo, incumbe o relaxamento, expedindo-se alvará de soltura a ser cumprido com as cautelas próprias. [ https://redir	0		
1905	B_editorial	com-titulo	LXVI - ninguém será levado à prisão ou nela mantido, quando a lei admitir a liberdade provisória, co	inc	repercussao_geral	Repercussão geral Tráfico de drogas. Vedação legal de liberdade provisória. Interpretação dos incisos XLIII e LXVI do art. 5º da CF. Reafirmação de jurisprudência. Proposta de fixação da seguinte tese: É inconstitucional a expressão &ldquo;e liberdade provisória&rdquo;, constante do caput do art. 44	0		
1906	B_editorial	com-titulo	LXVI - ninguém será levado à prisão ou nela mantido, quando a lei admitir a liberdade provisória, co	inc	julgados_correlatos	Julgados correlatos Aquele que foi preso em flagrante, embora formalmente perfeito o auto respectivo (CPP, arts. 304 a 306) e não obstante tecnicamente caracterizada a situação de flagrância (CPP, art. 302), tem, mesmo assim, direito subjetivo à obtenção da liberdade provisória (...), desde que não 	0		
1910	B_editorial	com-titulo	LXVII - não haverá prisão civil por dívida, salvo a do responsável pelo inadimplemento voluntário e 	inc	sumula_vinculante	Súmula Vinculante É ilícita a prisão civil de depositário infiel, qualquer que seja a modalidade do depósito. [ https://jurisprudencia.stf.jus.br/pages/search/seq-sumula774/false " target="_blank"> Súmula Vinculante 25 .]	0		
1911	B_editorial	com-titulo	LXVII - não haverá prisão civil por dívida, salvo a do responsável pelo inadimplemento voluntário e 	inc	repercussao_geral	Repercussão geral A jurisprudência deste Supremo Tribunal é pacífica no sentido de que os delitos previstos na Lei 8.137/1990 não violam o disposto no art. 5&deg;, LXVII, da Lei Maior, em virtude de terem caráter penal e não se relacionarem com a prisão civil por dívida. (...) as condutas tipificada	0		
1913	B_editorial	com-titulo	LXVII - não haverá prisão civil por dívida, salvo a do responsável pelo inadimplemento voluntário e 	inc	julgados_correlatos	Julgados correlatos A prisão por dívida de natureza alimentícia está ligada ao inadimplemento inescusável de prestação, não alcançando situação jurídica a revelar cobrança de saldo devedor. [ http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=12652568 " target="_blank">HC 121.426 	0		
