index	block_type	html_class	norm_anchor	norm_anchor_type	editorial_category	text	links_count	first_link	bracket_meta
101	C_textual	com	PREÂMBULO Nós, representantes do povo brasileiro, reunidos em Assembleia Nacional Constituinte para 	tit		Controle concentrado de constitucionalidade Não apenas o Estado haverá de ser convocado para formular as políticas públicas que podem conduzir ao bem-estar, à igualdade e à justiça, mas a sociedade haverá de se organizar segundo aqueles valores, a fim de que se firme como uma comunidade fraterna, pl	0		
102	C_textual	com	PREÂMBULO Nós, representantes do povo brasileiro, reunidos em Assembleia Nacional Constituinte para 	tit		Preâmbulo da Constituição: não constitui norma central. Invocação da proteção de Deus: não se trata de norma de reprodução obrigatória na Constituição estadual, não tendo força normativa. [ https://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=375324 " rel="noopener noreferrer" targ	0		
103	C_textual	com	PREÂMBULO Nós, representantes do povo brasileiro, reunidos em Assembleia Nacional Constituinte para 	tit		Julgado correlato A construção e o efetivo alcance de uma sociedade fraternal, pluralista e sem preconceitos, tal como previsto no preâmbulo da Constituição Federal, perpassa, inequivocamente, pela ruptura com a praxis de uma sociedade calcada no constante exercício da dominação e desrespeito à dign	0		
106	C_textual	com	Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e	art		Controle concentrado de constitucionalidade O erro no processo de formação das leis que distorça a manifestação de vontade do Poder Legislativo enseja a inconstitucionalidade formal, por violação ao devido processo legislativo, previsto nos arts. 59 e seguintes da Constituição Federal, e ao princípi	1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15379313537&ext=.pdf	
107	C_textual	com	Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e	art		Lei complementar estadual. Permuta nacional entre membros dos Ministérios Públicos Estaduais e do Distrito Federal e Territórios. Federalismo. Autonomia dos estados-membros. Inexistência de carreira única. (...) O caráter nacional do Ministério Público, considerado o regramento de observância obriga	1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15362477446&ext=.pdf	
108	C_textual	com	Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e	art		Art. 28, §12, da Lei Federal 9.504/1997 (Lei das Eleições). Prestação de Contas das doações de partidos para candidatos. Necessidade de identificação dos particulares responsáveis pela doação ao partido. Exigência republicana de transparência. O grande desafio da democracia representativa é fortalec	0		
109	C_textual	com	Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e	art		Ofensa aos princípios fundamentais democrático e da igualdade política. Premissas teóricas. Postura particularista e expansiva da Suprema Corte na salvaguarda dos pressupostos democráticos. Sensibilidade da matéria, afeta que é ao processo político-eleitoral. Autointeresse dos agentes políticos. Aus	0		
110	C_textual	com	Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e	art		Lei 6.683/1979, a chamada "Lei de Anistia". (...) princípio democrático e princípio republicano: não violação. (...) No Estado Democrático de Direito, o Poder Judiciário não está autorizado a alterar, a dar outra redação, diversa da nele contemplada, a texto normativo. Pode, a partir dele, produzir 	0		
111	C_textual	com	Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e	art		O pacto federativo, sustentando-se na harmonia que deve presidir as relações institucionais entre as comunidades políticas que compõem o Estado Federal, legitima as restrições de ordem constitucional que afetam o exercício, pelos Estados-membros e Distrito Federal, de sua competência normativa em te	0		
112	C_textual	com	Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e	art		Julgados correlatos Controle jurisdicional da atividade persecutória do Estado: uma exigência inerente ao Estado Democrático de Direito. O Estado não tem o direito de exercer, sem base jurídica idônea e suporte fático adequado, o poder persecutório de que se acha investido, pois lhe é vedado, ética 	0		
113	C_textual	com	Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e	art		A LEP é de ser interpretada com os olhos postos em seu art. 1º. Artigo que institui a lógica da prevalência de mecanismos de reinclusão social (e não de exclusão do sujeito apenado) no exame dos direitos e deveres dos sentenciados. Isso para favorecer, sempre que possível, a redução de distância ent	0		
114	C_textual	com	Art. 1º A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e	art		Cancelamento da Súmula 394/STF ( RTJ 179/912-913). Nada pode autorizar o desequilíbrio entre os cidadãos da República. O reconhecimento da prerrogativa de foro, perante o STF, nos ilícitos penais comuns, em favor de ex-ocupantes de cargos públicos ou de ex-titulares de mandatos eletivos transgride v	0		
116	C_textual	com	I - a soberania;	inc		Julgados correlatos O art. 1º da Constituição assenta como um dos fundamentos do Estado brasileiro a sua soberania &ndash; que significa o poder político supremo dentro do território, e, no plano internacional, no tocante às relações da República Federativa do Brasil com outros Estados soberanos, no	0		
117	C_textual	com	I - a soberania;	inc		As "terras indígenas" versadas pela CF de 1988 fazem parte de um território estatal-brasileiro sobre o qual incide, com exclusividade, o direito nacional. E como tudo o mais que faz parte do domínio de qualquer das pessoas federadas brasileiras, são terras que se submetem unicamente ao primeiro dos 	0		
118	C_textual	com	I - a soberania;	inc		A imprescindibilidade do uso do idioma nacional nos atos processuais, além de corresponder a uma exigência que decorre de razões vinculadas à própria soberania nacional, constitui projeção concretizadora da norma inscrita no art. 13, caput , da Carta Federal, que proclama ser a língua portuguesa "o 	0		
120	C_textual	com	II - a cidadania;	inc		Controle concentrado de constitucionalidade A Lei 8.899/1994 é parte das políticas públicas para inserir os portadores de necessidades especiais na sociedade e objetiva a igualdade de oportunidades e a humanização das relações sociais, em cumprimento aos fundamentos da República de cidadania e digni	0		
121	C_textual	com	II - a cidadania;	inc		Repercussão geral Análise da recepção da Lei nº 6.683, de 28 de agosto de 1979, em relação aos crimes permanentes e àqueles que caracterizaram graves violações aos Direitos Humanos durante a Ditadura Militar, em virtude da decisão proferida pelo SUPREMO TRIBUNAL FEDERAL na ADPF 153. [ https://portal	1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15374289752&ext=.pdf	
122	C_textual	com	II - a cidadania;	inc		Julgado correlato Ninguém é obrigado a cumprir ordem ilegal, ou a ela se submeter, ainda que emanada de autoridade judicial. Mais: é dever de cidadania opor-se à ordem ilegal; caso contrário, nega-se o Estado de Direito. [ http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=74517 "	0		
124	C_textual	com	III - a dignidade da pessoa humana;	inc		Só é lícito o uso de algemas em casos de resistência e de fundado receio de fuga ou de perigo à integridade física própria ou alheia, por parte do preso ou de terceiros, justificada a excepcionalidade por escrito, sob pena de responsabilidade disciplinar, civil e penal do agente ou da autoridade e d	0		
125	C_textual	com	III - a dignidade da pessoa humana;	inc		Controle concentrado de constitucionalidade Concurso público. Exames ginecológicos invasivos. Discriminação de gênero. (...) A determinação de exames ginecológicos invasivos, independentemente da idade da candidata, é discriminatória e afronta os princípios da dignidade da pessoa humana, da igualdad	1	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15383698071&ext=.pdf	
126	C_textual	com	III - a dignidade da pessoa humana;	inc		São inconstitucionais &mdash; por usurparem a competência privativa da União para legislar sobre as diretrizes e bases da educação nacional (CF/1988, art. 22, XXIV) e por violarem preceitos fundamentais relacionados à dignidade da pessoa humana (CF/1988, art. 1º, III); ao objetivo de construir uma s	2	http://portal.stf.jus.br/processos/detalhe.asp?incidente=5206804	
