index	tipo	numero	label	title	texto	path	line_start
1	titulo	I	TÍTULO I	Dos Princípios Fundamentais		TÍTULO I	6
2	artigo	1	Art. 1		A República Federativa do Brasil, formada pela união indissolúvel dos Estados e Municípios e do Distrito Federal, constitui-se em Estado Democrático de Direito e tem como fundamentos:	TÍTULO I > Art. 1	8
3	inciso	I	I		a soberania;	TÍTULO I > Art. 1 > I	9
4	inciso	II	II		a cidadania	TÍTULO I > Art. 1 > II	10
5	inciso	III	III		a dignidade da pessoa humana;	TÍTULO I > Art. 1 > III	11
6	inciso	IV	IV		os valores sociais do trabalho e da livre iniciativa; (Vide Lei nº 13.874, de 2019)	TÍTULO I > Art. 1 > IV	12
7	inciso	V	V		o pluralismo político.	TÍTULO I > Art. 1 > V	13
8	paragrafo	único	Parágrafo único		Todo o poder emana do povo, que o exerce por meio de representantes eleitos ou diretamente, nos termos desta Constituição.	TÍTULO I > Art. 1 > Parágrafo único	14
9	artigo	2	Art. 2		São Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário.	TÍTULO I > Art. 2	15
10	artigo	3	Art. 3		Constituem objetivos fundamentais da República Federativa do Brasil:	TÍTULO I > Art. 3	16
11	inciso	I	I		construir uma sociedade livre, justa e solidária;	TÍTULO I > Art. 3 > I	17
12	inciso	II	II		garantir o desenvolvimento nacional;	TÍTULO I > Art. 3 > II	18
13	inciso	III	III		erradicar a pobreza e a marginalização e reduzir as desigualdades sociais e regionais;	TÍTULO I > Art. 3 > III	19
14	inciso	IV	IV		promover o bem de todos, sem preconceitos de origem, raça, sexo, cor, idade e quaisquer outras formas de discriminação.	TÍTULO I > Art. 3 > IV	20
15	artigo	4	Art. 4		A República Federativa do Brasil rege-se nas suas relações internacionais pelos seguintes princípios:	TÍTULO I > Art. 4	21
16	inciso	I	I		independência nacional;	TÍTULO I > Art. 4 > I	22
17	inciso	II	II		prevalência dos direitos humanos;	TÍTULO I > Art. 4 > II	23
18	inciso	III	III		autodeterminação dos povos;	TÍTULO I > Art. 4 > III	24
19	inciso	IV	IV		não-intervenção;	TÍTULO I > Art. 4 > IV	25
20	inciso	V	V		igualdade entre os Estados;	TÍTULO I > Art. 4 > V	26
21	inciso	VI	VI		defesa da paz;	TÍTULO I > Art. 4 > VI	27
22	inciso	VII	VII		solução pacífica dos conflitos;	TÍTULO I > Art. 4 > VII	28
23	inciso	VIII	VIII		repúdio ao terrorismo e ao racismo;	TÍTULO I > Art. 4 > VIII	29
24	inciso	IX	IX		cooperação entre os povos para o progresso da humanidade;	TÍTULO I > Art. 4 > IX	30
25	inciso	X	X		concessão de asilo político.	TÍTULO I > Art. 4 > X	31
26	paragrafo	único	Parágrafo único		A República Federativa do Brasil buscará a integração econômica, política, social e cultural dos povos da América Latina, visando à formação de uma comunidade latino-americana de nações.	TÍTULO I > Art. 4 > Parágrafo único	32
27	titulo	II	TÍTULO II	Dos Direitos e Garantias Fundamentais		TÍTULO II	33
28	capitulo	I	CAPÍTULO I	DOS DIREITOS E DEVERES INDIVIDUAIS E COLETIVOS		TÍTULO II > CAPÍTULO I	35
29	artigo	5	Art. 5		Todos são iguais perante a lei, sem distinção de qualquer natureza, garantindo-se aos brasileiros e aos estrangeiros residentes no País a inviolabilidade do direito à vida, à liberdade, à igualdade, à segurança e à propriedade, nos termos seguintes:	TÍTULO II > CAPÍTULO I > Art. 5	37
30	inciso	I	I		homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição;	TÍTULO II > CAPÍTULO I > Art. 5 > I	38
31	inciso	II	II		ninguém será obrigado a fazer ou deixar de fazer alguma coisa senão em virtude de lei;	TÍTULO II > CAPÍTULO I > Art. 5 > II	39
32	inciso	III	III		ninguém será submetido a tortura nem a tratamento desumano ou degradante;	TÍTULO II > CAPÍTULO I > Art. 5 > III	40
33	inciso	IV	IV		é livre a manifestação do pensamento, sendo vedado o anonimato;	TÍTULO II > CAPÍTULO I > Art. 5 > IV	41
34	inciso	V	V		é assegurado o direito de resposta, proporcional ao agravo, além da indenização por dano material, moral ou à imagem;	TÍTULO II > CAPÍTULO I > Art. 5 > V	42
35	inciso	VI	VI		é inviolável a liberdade de consciência e de crença, sendo assegurado o livre exercício dos cultos religiosos e garantida, na forma da lei, a proteção aos locais de culto e a suas liturgias;	TÍTULO II > CAPÍTULO I > Art. 5 > VI	43
