anchor_text_norm	slug	label	title	node_type	namespace	variant_origin	match_priority
1 -	cf-1988-art-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-10-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-100-par-11-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-100-par-18-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-100-par-21-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-100-par-22-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-100-par-23-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-100-par-27-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-101-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-101-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-101-par-4-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-102-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-103-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-103-par-4-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-104-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-104-par-unico-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-105-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-105-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-105-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-106-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-107-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-107-par-8-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-108-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-109-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-111-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-115-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-116-par-12-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-116-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-117-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-118-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-119-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-12-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-12-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-12-par-4-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-120-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-120-par-unico-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-121-par-4-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-122-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-123-par-unico-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-125-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-126-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-128-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-128-par-5-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-129-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-13-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-130-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-130-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-130-par-6-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-131-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-131-par-2-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-131-par-5-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-132-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-132-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-134-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-134-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-134-par-6-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-136-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-136-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-136-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-137-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-139-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-14-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-14-par-1-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-14-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-14-par-8-inc-1	I		inciso	cf	inc_arab_hif	97
1 -	cf-1988-art-142-par-3-inc-1	I		inciso	cf	inc_arab_hif	97
