anchor_text_norm	slug	label	node_type
a)	cf-1988-art-131-par-5-inc-1-ali-a	a)	alinea
art 1	cf-1988-art-1	Art. 1	artigo
art 10	cf-1988-art-10	Art. 10	artigo
art 100	cf-1988-art-100	Art. 100	artigo
art 101	cf-1988-art-101	Art. 101	artigo
art 102	cf-1988-art-102	Art. 102	artigo
art 103	cf-1988-art-103	Art. 103	artigo
art 104	cf-1988-art-104	Art. 104	artigo
art 105	cf-1988-art-105	Art. 105	artigo
art 106	cf-1988-art-106	Art. 106	artigo
art 107	cf-1988-art-107	Art. 107	artigo
art 108	cf-1988-art-108	Art. 108	artigo
art 109	cf-1988-art-109	Art. 109	artigo
art 11	cf-1988-art-11	Art. 11	artigo
art 110	cf-1988-art-110	Art. 110	artigo
art 111	cf-1988-art-111	Art. 111	artigo
art 112	cf-1988-art-112	Art. 112	artigo
art 113	cf-1988-art-113	Art. 113	artigo
art 114	cf-1988-art-114	Art. 114	artigo
art 115	cf-1988-art-115	Art. 115	artigo
art 116	cf-1988-art-116	Art. 116	artigo
art 117	cf-1988-art-117	Art. 117	artigo
art 118	cf-1988-art-118	Art. 118	artigo
art 119	cf-1988-art-119	Art. 119	artigo
art 12	cf-1988-art-12	Art. 12	artigo
art 120	cf-1988-art-120	Art. 120	artigo
art 121	cf-1988-art-121	Art. 121	artigo
art 122	cf-1988-art-122	Art. 122	artigo
art 123	cf-1988-art-123	Art. 123	artigo
art 124	cf-1988-art-124	Art. 124	artigo
art 125	cf-1988-art-125	Art. 125	artigo
art 126	cf-1988-art-126	Art. 126	artigo
art 127	cf-1988-art-127	Art. 127	artigo
art 128	cf-1988-art-128	Art. 128	artigo
art 129	cf-1988-art-129	Art. 129	artigo
art 13	cf-1988-art-13	Art. 13	artigo
art 130	cf-1988-art-130	Art. 130	artigo
art 131	cf-1988-art-131	Art. 131	artigo
art 132	cf-1988-art-132	Art. 132	artigo
art 133	cf-1988-art-133	Art. 133	artigo
art 134	cf-1988-art-134	Art. 134	artigo
art 135	cf-1988-art-135	Art. 135	artigo
art 136	cf-1988-art-136	Art. 136	artigo
art 137	cf-1988-art-137	Art. 137	artigo
art 138	cf-1988-art-138	Art. 138	artigo
art 139	cf-1988-art-139	Art. 139	artigo
