anchor_text_norm	slug	label	title	node_type
dos principios fundamentais	cf-1988-tit-1	TÍTULO I	Dos Princípios Fundamentais	titulo
titulo 1	cf-1988-tit-1	TÍTULO I	Dos Princípios Fundamentais	titulo
titulo i	cf-1988-tit-1	TÍTULO I	Dos Princípios Fundamentais	titulo
art 1	cf-1988-art-1	Art. 1		artigo
art 1º	cf-1988-art-1	Art. 1		artigo
art. 1	cf-1988-art-1	Art. 1		artigo
art. 1º	cf-1988-art-1	Art. 1		artigo
artigo 1	cf-1988-art-1	Art. 1		artigo
artigo 1º	cf-1988-art-1	Art. 1		artigo
1	cf-1988-art-1-inc-1	I		inciso
1 -	cf-1988-art-1-inc-1	I		inciso
1-	cf-1988-art-1-inc-1	I		inciso
i	cf-1988-art-1-inc-1	I		inciso
i -	cf-1988-art-1-inc-1	I		inciso
i-	cf-1988-art-1-inc-1	I		inciso
inc 1	cf-1988-art-1-inc-1	I		inciso
inc i	cf-1988-art-1-inc-1	I		inciso
inc. 1	cf-1988-art-1-inc-1	I		inciso
inc. i	cf-1988-art-1-inc-1	I		inciso
inciso 1	cf-1988-art-1-inc-1	I		inciso
inciso i	cf-1988-art-1-inc-1	I		inciso
2	cf-1988-art-1-inc-2	II		inciso
2 -	cf-1988-art-1-inc-2	II		inciso
2-	cf-1988-art-1-inc-2	II		inciso
ii	cf-1988-art-1-inc-2	II		inciso
ii -	cf-1988-art-1-inc-2	II		inciso
ii-	cf-1988-art-1-inc-2	II		inciso
inc 2	cf-1988-art-1-inc-2	II		inciso
inc ii	cf-1988-art-1-inc-2	II		inciso
inc. 2	cf-1988-art-1-inc-2	II		inciso
inc. ii	cf-1988-art-1-inc-2	II		inciso
inciso 2	cf-1988-art-1-inc-2	II		inciso
inciso ii	cf-1988-art-1-inc-2	II		inciso
3	cf-1988-art-1-inc-3	III		inciso
3 -	cf-1988-art-1-inc-3	III		inciso
3-	cf-1988-art-1-inc-3	III		inciso
iii	cf-1988-art-1-inc-3	III		inciso
iii -	cf-1988-art-1-inc-3	III		inciso
iii-	cf-1988-art-1-inc-3	III		inciso
inc 3	cf-1988-art-1-inc-3	III		inciso
inc iii	cf-1988-art-1-inc-3	III		inciso
inc. 3	cf-1988-art-1-inc-3	III		inciso
inc. iii	cf-1988-art-1-inc-3	III		inciso
inciso 3	cf-1988-art-1-inc-3	III		inciso
inciso iii	cf-1988-art-1-inc-3	III		inciso
4	cf-1988-art-1-inc-4	IV		inciso
4 -	cf-1988-art-1-inc-4	IV		inciso
4-	cf-1988-art-1-inc-4	IV		inciso
inc 4	cf-1988-art-1-inc-4	IV		inciso
inc iv	cf-1988-art-1-inc-4	IV		inciso
inc. 4	cf-1988-art-1-inc-4	IV		inciso
inc. iv	cf-1988-art-1-inc-4	IV		inciso
inciso 4	cf-1988-art-1-inc-4	IV		inciso
inciso iv	cf-1988-art-1-inc-4	IV		inciso
iv	cf-1988-art-1-inc-4	IV		inciso
iv -	cf-1988-art-1-inc-4	IV		inciso
iv-	cf-1988-art-1-inc-4	IV		inciso
5	cf-1988-art-1-inc-5	V		inciso
5 -	cf-1988-art-1-inc-5	V		inciso
5-	cf-1988-art-1-inc-5	V		inciso
inc 5	cf-1988-art-1-inc-5	V		inciso
inc v	cf-1988-art-1-inc-5	V		inciso
inc. 5	cf-1988-art-1-inc-5	V		inciso
inc. v	cf-1988-art-1-inc-5	V		inciso
inciso 5	cf-1988-art-1-inc-5	V		inciso
inciso v	cf-1988-art-1-inc-5	V		inciso
v	cf-1988-art-1-inc-5	V		inciso
v -	cf-1988-art-1-inc-5	V		inciso
v-	cf-1988-art-1-inc-5	V		inciso
paragrafo unico	cf-1988-art-1-par-unico	Parágrafo único		paragrafo
§ unico	cf-1988-art-1-par-unico	Parágrafo único		paragrafo
art 2	cf-1988-art-2	Art. 2		artigo
art 2º	cf-1988-art-2	Art. 2		artigo
art. 2	cf-1988-art-2	Art. 2		artigo
art. 2º	cf-1988-art-2	Art. 2		artigo
artigo 2	cf-1988-art-2	Art. 2		artigo
artigo 2º	cf-1988-art-2	Art. 2		artigo
art 3	cf-1988-art-3	Art. 3		artigo
art 3º	cf-1988-art-3	Art. 3		artigo
art. 3	cf-1988-art-3	Art. 3		artigo
art. 3º	cf-1988-art-3	Art. 3		artigo
artigo 3	cf-1988-art-3	Art. 3		artigo
artigo 3º	cf-1988-art-3	Art. 3		artigo
1	cf-1988-art-3-inc-1	I		inciso
1 -	cf-1988-art-3-inc-1	I		inciso
1-	cf-1988-art-3-inc-1	I		inciso
i	cf-1988-art-3-inc-1	I		inciso
i -	cf-1988-art-3-inc-1	I		inciso
i-	cf-1988-art-3-inc-1	I		inciso
inc 1	cf-1988-art-3-inc-1	I		inciso
inc i	cf-1988-art-3-inc-1	I		inciso
inc. 1	cf-1988-art-3-inc-1	I		inciso
inc. i	cf-1988-art-3-inc-1	I		inciso
inciso 1	cf-1988-art-3-inc-1	I		inciso
inciso i	cf-1988-art-3-inc-1	I		inciso
2	cf-1988-art-3-inc-2	II		inciso
2 -	cf-1988-art-3-inc-2	II		inciso
2-	cf-1988-art-3-inc-2	II		inciso
ii	cf-1988-art-3-inc-2	II		inciso
ii -	cf-1988-art-3-inc-2	II		inciso
ii-	cf-1988-art-3-inc-2	II		inciso
inc 2	cf-1988-art-3-inc-2	II		inciso
inc ii	cf-1988-art-3-inc-2	II		inciso
inc. 2	cf-1988-art-3-inc-2	II		inciso
inc. ii	cf-1988-art-3-inc-2	II		inciso
inciso 2	cf-1988-art-3-inc-2	II		inciso
inciso ii	cf-1988-art-3-inc-2	II		inciso
3	cf-1988-art-3-inc-3	III		inciso
3 -	cf-1988-art-3-inc-3	III		inciso
3-	cf-1988-art-3-inc-3	III		inciso
iii	cf-1988-art-3-inc-3	III		inciso
iii -	cf-1988-art-3-inc-3	III		inciso
iii-	cf-1988-art-3-inc-3	III		inciso
inc 3	cf-1988-art-3-inc-3	III		inciso
inc iii	cf-1988-art-3-inc-3	III		inciso
inc. 3	cf-1988-art-3-inc-3	III		inciso
inc. iii	cf-1988-art-3-inc-3	III		inciso
inciso 3	cf-1988-art-3-inc-3	III		inciso
inciso iii	cf-1988-art-3-inc-3	III		inciso
4	cf-1988-art-3-inc-4	IV		inciso
4 -	cf-1988-art-3-inc-4	IV		inciso
4-	cf-1988-art-3-inc-4	IV		inciso
inc 4	cf-1988-art-3-inc-4	IV		inciso
inc iv	cf-1988-art-3-inc-4	IV		inciso
inc. 4	cf-1988-art-3-inc-4	IV		inciso
inc. iv	cf-1988-art-3-inc-4	IV		inciso
inciso 4	cf-1988-art-3-inc-4	IV		inciso
inciso iv	cf-1988-art-3-inc-4	IV		inciso
iv	cf-1988-art-3-inc-4	IV		inciso
iv -	cf-1988-art-3-inc-4	IV		inciso
iv-	cf-1988-art-3-inc-4	IV		inciso
art 4	cf-1988-art-4	Art. 4		artigo
art 4º	cf-1988-art-4	Art. 4		artigo
art. 4	cf-1988-art-4	Art. 4		artigo
art. 4º	cf-1988-art-4	Art. 4		artigo
artigo 4	cf-1988-art-4	Art. 4		artigo
artigo 4º	cf-1988-art-4	Art. 4		artigo
1	cf-1988-art-4-inc-1	I		inciso
1 -	cf-1988-art-4-inc-1	I		inciso
1-	cf-1988-art-4-inc-1	I		inciso
i	cf-1988-art-4-inc-1	I		inciso
i -	cf-1988-art-4-inc-1	I		inciso
