com_id	artigo	process_class	process_number	process_key	relator	redator	julgamento_data	dje_data	turma	tema_rg	sumula_num	sumula_tipo	merito_status	stf_incidente	url_principal	urls_todas	link_labels	referencia	texto_preview	fonte_relator	fonte_processo
77936	cf-art-None														#titulo2	#titulo2	Preâmbulo		Preâmbulo		
46670	cf-art-None	ADI	2649	ADI_2649	Cármen Lúcia		8-5-2008	17-10-2008	P						https://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=555517	https://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=555517	ADI 2.649	 ADI 2.649 , voto da rel. min. Cármen Lúcia, j. 8-5-2008, P, DJE de 17-10-2008.	Controle concentrado de constitucionalidade Não apenas o Estado haverá de ser convocado para formular as políticas públicas que podem conduzir ao bem-estar, à igualdade e à justiça, mas a sociedade ha	ref	ref
2550	cf-art-None	ADI	2076	ADI_2076	Carlos Velloso		15-8-2002	8-8-2003	P						https://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=375324	https://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=375324	ADI 2.076	 ADI 2.076 , rel. min. Carlos Velloso, j. 15-8-2002, P, DJ de 8-8-2003.	Preâmbulo da Constituição: não constitui norma central. Invocação da proteção de Deus: não se trata de norma de reprodução obrigatória na Constituição estadual, não tendo força normativa. [ ADI 2.076 	ref	ref
88523	cf-art-None	RHC	222599	RHC_222599	Edson Fachin		7-2-2023	23-3-2023	P						https://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=766490810	https://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=766490810	RHC 222.599	 RHC 222.599 , rel. min. Edson Fachin, j. 7-2-2023, P, DJE de 23-3-2023.	Julgado correlato A construção e o efetivo alcance de uma sociedade fraternal, pluralista e sem preconceitos, tal como previsto no preâmbulo da Constituição Federal, perpassa, inequivocamente, pela ru	ref	ref
96781	cf-art-1	ADI	7231	ADI_7231	Flávio Dino		16-6-2025	22-8-2025	P						https://portal.stf.jus.br/processos/downloadPeca.asp?id=15379313537&amp;ext=.pdf	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15379313537&amp;ext=.pdf	ADI 7.231	 ADI 7.231 , rel. min. Flávio Dino, j. 16-6-2025, P, DJE de 22-8-2025.	Controle concentrado de constitucionalidade O erro no processo de formação das leis que distorça a manifestação de vontade do Poder Legislativo enseja a inconstitucionalidade formal, por violação ao d	ref	ref
89361	cf-art-1	ADI	6780	ADI_6780	Nunes Marques		4-9-2023	31-10-2023	P						https://portal.stf.jus.br/processos/downloadPeca.asp?id=15362477446&amp;ext=.pdf	https://portal.stf.jus.br/processos/downloadPeca.asp?id=15362477446&amp;ext=.pdf	ADI 6.780	 ADI 6.780 , rel. min. Nunes Marques, j. 4-9-2023, P, DJE de 31-10-2023.	Lei complementar estadual. Permuta nacional entre membros dos Ministérios Públicos Estaduais e do Distrito Federal e Territórios. Federalismo. Autonomia dos estados-membros. Inexistência de carreira ú	ref	ref
88730	cf-art-1	ADI	5394	ADI_5394	Alexandre de Moraes		22-3-2018	18-2-2019	P						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=749168081	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=749168081	ADI 5.394	 ADI 5.394 , rel. min. Alexandre de Moraes, j. 22-3-2018, P, DJE de 18-2-2019.	Art. 28, §12, da Lei Federal 9.504/1997 (Lei das Eleições). Prestação de Contas das doações de partidos para candidatos. Necessidade de identificação dos particulares responsáveis pela doação ao parti	ref	ref
88711	cf-art-1	ADI	4650	ADI_4650	Luiz Fux		17-9-2015	24-2-2016	P						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=10329542	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=TP&amp;docID=10329542	ADI 4.650	 ADI 4.650 , rel. min. Luiz Fux, j. 17-9-2015, P, DJE de 24-2-2016.	Ofensa aos princípios fundamentais democrático e da igualdade política. Premissas teóricas. Postura particularista e expansiva da Suprema Corte na salvaguarda dos pressupostos democráticos. Sensibilid	ref	ref
59671	cf-art-1	ADPF	153	ADPF_153	Eros Grau		29-4-2010	6-8-2010	P						https://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=612960	https://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=612960	ADPF 153	 ADPF 153 , rel. min. Eros Grau, j. 29-4-2010, P, DJE de 6-8-2010.	Lei 6.683/1979, a chamada Lei de Anistia. (...) princípio democrático e princípio republicano: não violação. (...) No Estado Democrático de Direito, o Poder Judiciário não está autorizado a alterar, a	ref	ref
2548	cf-art-1	ADI	1247	ADI_1247	Celso de Mello		17-8-1995	8-9-1995	P						http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=346923	http://redir.stf.jus.br/paginadorpub/paginador.jsp?docTP=AC&amp;docID=346923	ADI 1.247 MC	 ADI 1.247 MC , rel. min. Celso de Mello, j. 17-8-1995, P, DJ de 8-9-1995.	O pacto federativo, sustentando-se na harmonia que deve presidir as relações institucionais entre as comunidades políticas que compõem o Estado Federal, legitima as restrições de ordem constitucional 	ref	ref
